millis,stamp,datetime,light,temp,vcc
999, 1455737339, "2016/2/17 19:28:59", 771, 21.22, 1.46
1999, 1455737340, "2016/2/17 19:29:0", 767, 21.22, 1.46
2999, 1455737341, "2016/2/17 19:29:1", 768, 21.22, 1.46
3998, 1455737342, "2016/2/17 19:29:2", 766, 21.22, 1.46
5000, 1455737343, "2016/2/17 19:29:3", 772, 21.22, 1.46
5999, 1455737344, "2016/2/17 19:29:4", 770, 21.22, 1.46
7000, 1455737345, "2016/2/17 19:29:5", 768, 21.22, 1.46
7999, 1455737346, "2016/2/17 19:29:6", 767, 21.22, 1.46
8998, 1455737347, "2016/2/17 19:29:7", 773, 20.90, 1.46
9999, 1455737348, "2016/2/17 19:29:8", 771, 21.22, 1.47
10998, 1455737349, "2016/2/17 19:29:9", 769, 21.22, 1.46
11999, 1455737350, "2016/2/17 19:29:10", 772, 21.22, 1.46
12998, 1455737351, "2016/2/17 19:29:11", 770, 21.22, 1.46
13999, 1455737352, "2016/2/17 19:29:12", 771, 21.22, 1.46
14999, 1455737353, "2016/2/17 19:29:13", 772, 21.22, 1.46
16000, 1455737354, "2016/2/17 19:29:14", 774, 21.22, 1.46
16999, 1455737355, "2016/2/17 19:29:15", 773, 20.90, 1.46
17999, 1455737356, "2016/2/17 19:29:16", 774, 21.22, 1.46
18999, 1455737357, "2016/2/17 19:29:17", 768, 21.22, 1.46
19998, 1455737358, "2016/2/17 19:29:18", 772, 21.22, 1.46
21000, 1455737359, "2016/2/17 19:29:19", 772, 21.22, 1.46
21999, 1455737360, "2016/2/17 19:29:20", 773, 21.22, 1.47
22999, 1455737361, "2016/2/17 19:29:21", 772, 21.22, 1.46
23999, 1455737362, "2016/2/17 19:29:22", 773, 21.22, 1.46
24999, 1455737363, "2016/2/17 19:29:23", 770, 21.22, 1.46
25998, 1455737364, "2016/2/17 19:29:24", 769, 21.22, 1.46
26999, 1455737365, "2016/2/17 19:29:25", 771, 21.22, 1.46
28000, 1455737366, "2016/2/17 19:29:26", 769, 21.22, 1.46
28999, 1455737367, "2016/2/17 19:29:27", 773, 21.22, 1.46
30000, 1455737368, "2016/2/17 19:29:28", 772, 21.54, 1.46
30999, 1455737369, "2016/2/17 19:29:29", 771, 21.22, 1.46
32000, 1455737370, "2016/2/17 19:29:30", 773, 21.22, 1.46
32999, 1455737371, "2016/2/17 19:29:31", 768, 21.54, 1.46
33999, 1455737372, "2016/2/17 19:29:32", 773, 21.22, 1.46
