millis,stamp,datetime,light,temp,vcc
1000, 1455738023, "2016/2/17 19:40:23", 770, 21.54, 1.45
1999, 1455738024, "2016/2/17 19:40:24", 774, 21.54, 1.46
2999, 1455738025, "2016/2/17 19:40:25", 774, 21.54, 1.46
3998, 1455738026, "2016/2/17 19:40:26", 771, 21.54, 1.46
5000, 1455738027, "2016/2/17 19:40:27", 775, 21.54, 1.46
5999, 1455738028, "2016/2/17 19:40:28", 774, 21.22, 1.46
7000, 1455738029, "2016/2/17 19:40:29", 772, 21.54, 1.45
7999, 1455738030, "2016/2/17 19:40:30", 771, 21.54, 1.46
8998, 1455738031, "2016/2/17 19:40:31", 630, 22.19, 1.80
